NAME,CLUB,RATING
Petr Cech,Arsenal,82
Sead Kolasinac,Arsenal,80
Rob Holding,Arsenal,74
Nacho Monreal,Arsenal,80
Mohamed Elneny,Arsenal,78
Granit Xhaka,Arsenal,81
Alex Oxlade-Chamberlain,Liverpool,80
Hector Bellerin,Arsenal,80
Mesut Ozil,Arsenal,86
Danny Welbeck,Arsenal,77
Alexandre Lacazette,Arsenal,84
Aaron Ramsey,Arsenal,82
Olivier Giroud,Chelsea,82
Theo Walcott,Everton,79
Kasper Schmeichel,Leicester City,84
Christian Fuchs,Leicester City,75
Wes Morgan,Leicester City,75
Harry Maguire,Leicester City,82
Danny Simpson,Leicester City,74
Marc Albrighton,Leicester City,76
Matty James,Leicester City,73
Wilfred Ndidi,Leicester City,80
Riyad Mahrez,Manchester City,85
Shinji Okazaki,Leicester City,76
Jamie Vardy,Leicester City,82
Daniel Amartey,Leicester City,75
Demarai Gray,Leicester City,76
Kelechi Iheanacho,Leicester City,75
Mat Ryan,Brighton and Hove Albion,78
Lewis Dunk,Brighton and Hove Albion,77
Markus Suttner,Brighton and Hove Albion,73
Shane Duffy,Brighton and Hove Albion,76
Bruno,Brighton and Hove Albion,77
Davy Propper,Brighton and Hove Albion,77
Solly March,Brighton and Hove Albion,72
Dale Stephens,Brighton and Hove Albion,76
Isaiah Brown,Brighton and Hove Albion,70
Pascal Gross,Brighton and Hove Albion,78
Tomer Hemed,Brighton and Hove Albion,71
Jamie Murphy,Brighton and Hove Albion,73
Anthony Knockaert,Brighton and Hove Albion,75
Glenn Murray,Brighton and Hove Albion,76
Ederson,Manchester City,86
Vincent Kompany,Manchester City,85
John Stones,Manchester City,82
Nicolas Otamendi,Manchester City,86
Fernandinho,Manchester City,71
Kyle Walker,Manchester City,84
David Silva,Manchester City,73
Kevin De Bruyne,Manchester City,91
Danilo,Manchester City,68
Sergio Aguero,Manchester City,89
Gabriel Jesus,Manchester City,83
Bernardo Silva,Manchester City,84
Leroy Sane,Manchester City,86
Raheem Sterling,Manchester City,85
Thibaut Courtois,Chelsea,90
Antonio Rudiger,Chelsea,81
David Luiz,Chelsea,83
Gary Cahill,Chelsea,81
NGolo Kante,Chelsea,89
Cesc Fabregas,Chelsea,84
Marcos Alonso,Chelsea,82
Cesar Azpilicueta,Chelsea,86
Willian,Chelsea,84
Jeremie Boga,Chelsea,71
Michy Batshuayi,Chelsea,81
Andreas Christensen,Chelsea,82
Charly Musonda,Chelsea,75
Alvaro Morata,Chelsea,83
Tom Heaton,Burnley,80
Matthew Lowton,Burnley,78
Stephen Ward,Burnley,76
Ben Mee,Burnley,80
James Tarkowski,Burnley,80
Johann Gudmundsson,Burnley,79
Robbie Brady,Burnley,77
Steven Defour,Burnley,80
Jack Cork,Burnley,79
Sam Vokes,Burnley,76
Jeff Hendrick,Burnley,75
Scott Arfield,Burnley,73
Jonathan Walters,Burnley,72
Wayne Hennessey,Crystal Palace,75
Timothy Fosu-Mensah,Fulham,74
Scott Dann,Crystal Palace,76
Jairo Riedewald,Crystal Palace,74
Luka Milivojevic,Crystal Palace,79
Joel Ward,Crystal Palace,74
Patrick van Aanholt,Crystal Palace,75
Jason Puncheon,Crystal Palace,73
Christian Benteke,Crystal Palace,78
Ruben Loftus-Cheek,Chelsea,77
Wilfried Zaha,Crystal Palace,82
James Tomkins,Crystal Palace,78
Andros Townsend,Crystal Palace,78
Jonas Lossl,Huddersfield Town,75
Zanka,Huddersfield Town,77
Christopher Schindler,Huddersfield Town,78
Chris Lowe,Huddersfield Town,73
Tommy Smith,Huddersfield Town,70
Tom Ince,Huddersfield Town,73
Elias Kachunga,Huddersfield Town,71
Kasey Palmer,Huddersfield Town,70
Philip Billing,Huddersfield Town,68
Aaron Mooy,Huddersfield Town,79
Steve Mounie,Huddersfield Town,76
Rajiv van La Parra,Huddersfield Town,72
Danny Williams,Huddersfield Town,71
Collin Quaner,Huddersfield Town,69
Jordan Pickford,Everton,83
Phil Jagielka,Everton,78
Ashley Williams,Everton,76
Michael Keane,Everton,79
Idrissa Gueye,Everton,82
Dominic Calvert-Lewin,Everton,74
