match_id,home_team,away_team,home_goals,away_goals,result,home_player1,home_player2,home_player3,home_player4,home_player5,home_player6,home_player7,home_player8,home_player9,home_player10,home_player11,home_player12,home_player13,home_player14,away_player1,away_player2,away_player3,away_player4,away_player5,away_player6,away_player7,away_player8,away_player9,away_player10,away_player11,away_player12,away_player13,away_player14
22342,Arsenal,Leicester City,4,3,1, Petr Cech , Sead Kolasinac , Rob Holding , Nacho Monreal , Mohamed Elneny , Granit Xhaka , Alex Oxlade-Chamberlain , Hector Bellerin , Mesut Ozil , Danny Welbeck , Alexandre Lacazette , Aaron Ramsey , Olivier Giroud , Theo Walcott , Kasper Schmeichel , Christian Fuchs , Wes Morgan , Harry Maguire , Danny Simpson , Marc Albrighton , Matty James , Wilfred Ndidi , Riyad Mahrez , Shinji Okazaki , Jamie Vardy , Daniel Amartey , Demarai Gray , Kelechi Iheanacho 
22343,Brighton and Hove Albion,Manchester City,0,2,-1, Mat Ryan , Lewis Dunk , Markus Suttner , Shane Duffy , Bruno , Davy Propper , Solly March , Dale Stephens , Isaiah Brown , Pascal Gross , Tomer Hemed , Jamie Murphy , Anthony Knockaert , Glenn Murray , Ederson , Vincent Kompany , John Stones , Nicolas Otamendi , Fernandinho , Kyle Walker , David Silva , Kevin De Bruyne , Danilo , Sergio Aguero , Gabriel Jesus , Bernardo Silva , Leroy Sane , Raheem Sterling 
22344,Chelsea,Burnley,2,3,-1, Thibaut Courtois , Antonio Rudiger , David Luiz , Gary Cahill , NGolo Kante , Cesc Fabregas , Marcos Alonso , Cesar Azpilicueta , Willian , Jeremie Boga , Michy Batshuayi , Andreas Christensen  , Charly Musonda  , Alvaro Morata , Tom Heaton , Matthew Lowton , Stephen Ward , Ben Mee , James Tarkowski , Johann Gudmundsson , Robbie Brady , Steven Defour , Jack Cork , Sam Vokes , Jeff Hendrick , Scott Arfield , Jonathan Walters ,
22345,Crystal Palace,Huddersfield Town,0,3,-1, Wayne Hennessey , Timothy Fosu-Mensah , Scott Dann , Jairo Riedewald , Luka Milivojevic , Joel Ward , Patrick van Aanholt , Jason Puncheon , Christian Benteke , Ruben Loftus-Cheek , Wilfried Zaha , James Tomkins , Andros Townsend ,, Jonas Lossl , Zanka , Christopher Schindler , Chris Lowe , Tommy Smith , Tom Ince , Elias Kachunga , Kasey Palmer , Philip Billing , Aaron Mooy , Steve Mounie , Rajiv van La Parra , Danny Williams , Collin Quaner 
22346,Everton,Stoke City,1,0,1, Jordan Pickford , Phil Jagielka , Ashley Williams , Michael Keane , Idrissa Gueye , Dominic Calvert-Lewin , Leighton Baines , Morgan Schneiderlin , Wayne Rooney , Sandro Ramirez , Davy Klaassen , Cuco Martina , Kevin Mirallas , Tom Davies , Jack Butland , Ryan Shawcross , Kurt Zouma , Geoff Cameron , Mame Biram Diouf , Erik Pieters , Darren Fletcher , Joe Allen , Bojan , Xherdan Shaqiri , Saido Berahino , Eric Maxim Choupo-Moting , Peter Crouch ,
22347,Manchester United,West Ham United,4,0,1, David de Gea , Daley Blind , Antonio Valencia , Eric Bailly , Phil Jones , Paul Pogba , Henrikh Mkhitaryan , Nemanja Matic , Juan Mata , Marcus Rashford , Romelu Lukaku , Marouane Fellaini , Jesse Lingard , Anthony Martial , Joe Hart , Arthur Masuaku , Pablo Zabaleta , Angelo Ogbonna , Winston Reid , Andre Ayew , Edimilson Fernandes , Marko Arnautovic , Mark Noble , Pedro Obiang , Chicharito , Aaron Cresswell , Declan Rice , Diafra Sakho 
22348,Newcastle United,Tottenham Hotspur,0,2,-1, Robert Elliot , Javier Manquillo , Ciaran Clark , Florian Lejeune , Paul Dummett , Jonjo Shelvey , Christian Atsu , Isaac Hayden , Ayoze Perez , Matt Ritchie , Dwight Gayle , Chancel Mbemba , Jamaal Lascelles , Mikel Merino , Hugo Lloris , Ben Davies , Jan Vertonghen , Kyle Walker-Peters , Toby Alderweireld , Dele Alli , Eric Dier , Moussa Sissoko , Christian Eriksen , Mousa Dembele , Harry Kane , Son Heung-Min , Harry Winks , Victor Wanyama 
22349,Southampton,Swansea City,0,0,0, Fraser Forster , Jack Stephens , Maya Yoshida , Ryan Bertrand , Cedric Soares , James Ward-Prowse , Steven Davis , Dusan Tadic , Oriol Romeu , Nathan Redmond , Manolo Gabbiadini , Sam McQueen , Sofiane Boufal , Charlie Austin , Lukasz Fabianski , Federico Fernandez , Kyle Naughton , Alfie Mawson , Martin Olsson , Tom Carroll , Leroy Fer , Wayne Routledge , Leon Britton , Jordan Ayew , Tammy Abraham , Kyle Bartley , Jay Fulton , Oliver McBurnie 
22350,Watford,Liverpool,3,3,0, Heurelho Gomes , Miguel Britos , Jose Holebas , Younes Kaboul , Daryl Janmaat , Tom Cleverley , Nathaniel Chalobah , Abdoulaye Doucoure , Roberto Pereyra , Stefano Okaka , Nordin Amrabat , Kiko Femenia , Richarlison , Andre Gray , Simon Mignolet , Alberto Moreno , Trent Alexander-Arnold  , Joel Matip , Dejan Lovren , Emre Can , Jordan Henderson , Georginio Wijnaldum , Roberto Firmino , Sadio Mane , Mohamed Salah , Joseph Gomez  , James Milner , Divock Origi 
22351,West Bromwich Albion,AFC Bournemouth,1,0,1, Ben Foster , Chris Brunt , Allan Nyom , Craig Dawson , Ahmed Hegazi , Jake Livermore , Claudio Yacob , Matt Phillips , James McClean , Sam Field , Jay Rodriguez , Rekeem Harper , Salomon Rondon , Hal Robson-Kanu , Asmir Begovic , Charlie Daniels , Steve Cook , Nathan Ake , Simon Francis , Andrew Surman , Marc Pugh , Harry Arter , Ryan Fraser , Joshua King , Benik Afobe , Adam Smith , Jordon Ibe , Jermain Defoe 
22352,AFC Bournemouth,Watford,0,2,-1, Asmir Begovic , Charlie Daniels , Nathan Ake , Steve Cook , Adam Smith , Jordon Ibe , Ryan Fraser , Harry Arter , Andrew Surman , Benik Afobe , Joshua King , Marc Pugh , Lys Mousset , Jermain Defoe , Heurelho Gomes , Miguel Britos , Kiko Femenia , Jose Holebas , Sebastian Prodl , Tom Cleverley , Nathaniel Chalobah  , Abdoulaye Doucoure , Nordin Amrabat , Andre Gray , Richarlison , Christian Kabasele , Ben Watson  , Etienne Capoue 
22353,Burnley,West Bromwich Albion,0,1,-1, Tom Heaton , James Tarkowski , Matthew Lowton , Ben Mee , Stephen Ward , Johann Gudmundsson , Jack Cork , Steven Defour , Robbie Brady , Jeff Hendrick , Sam Vokes , Ashley Barnes , Jonathan Walters ,, Ben Foster , Chris Brunt , Craig Dawson , Allan Nyom , Ahmed Hegazi , Gareth Barry , James McClean , Matt Phillips , Jake Livermore , Sam Field , Jay Rodriguez , Salomon Rondon , Hal Robson-Kanu ,
22354,Huddersfield Town,Newcastle United,1,0,1, Jonas Lossl , Christopher Schindler , Zanka , Tommy Smith , Chris Lowe , Rajiv van La Parra , Tom Ince  , Elias Kachunga , Aaron Mooy , Philip Billing , Steve Mounie , Michael Hefele  , Kasey Palmer , Collin Quaner , Robert Elliot , Ciaran Clark , Jamaal Lascelles , Chancel Mbemba , Javier Manquillo , Isaac Hayden , Ayoze Perez , Matt Ritchie , Christian Atsu , Mikel Merino , Dwight Gayle , Jacob Murphy , Mohamed Diame , Joselu 
22355,Leicester City,Brighton and Hove Albion,2,0,1, Kasper Schmeichel , Wes Morgan , Harry Maguire , Danny Simpson , Christian Fuchs , Marc Albrighton , Riyad Mahrez , Matty James , Wilfred Ndidi , Jamie Vardy  , Shinji Okazaki , Demarai Gray  , Islam Slimani ,, Mat Ryan , Lewis Dunk , Bruno , Markus Suttner , Shane Duffy , Solly March , Dale Stephens , Jamie Murphy , Davy Propper , Glenn Murray , Pascal Gross , Anthony Knockaert , Tomer Hemed ,
22356,Liverpool,Crystal Palace,1,0,1, Simon Mignolet , Joel Matip , Andrew Robertson , Ragnar Klavan , Joseph Gomez , Georginio Wijnaldum , Jordan Henderson , James Milner , Daniel Sturridge , Sadio Mane , Roberto Firmino , Dejan Lovren , Mohamed Salah , Dominic Solanke , Wayne Hennessey , Scott Dann , Timothy Fosu-Mensah , James Tomkins , Luka Milivojevic , Jason Puncheon , Ruben Loftus-Cheek , Joel Ward , Patrick van Aanholt , Christian Benteke , Andros Townsend , Jeffrey Schlupp , Sullay Kaikai , James McArthur 
22357,Manchester City,Everton,1,1,0, Ederson , John Stones , Vincent Kompany , Nicolas Otamendi , David Silva , Fernandinho , Leroy Sane , Kevin De Bruyne , Kyle Walker , Sergio Aguero , Gabriel Jesus , Danilo , Bernardo Silva , Raheem Sterling , Jordan Pickford , Michael Keane , Phil Jagielka , Ashley Williams , Tom Davies , Idrissa Gueye , Leighton Baines , Morgan Schneiderlin , Mason Holgate , Wayne Rooney , Dominic Calvert-Lewin , Muhamed Besic , Gylfi Sigurdsson , Davy Klaassen 
22358,Stoke City,Arsenal,1,0,1, Jack Butland , Geoff Cameron , Kurt Zouma , Ryan Shawcross , Darren Fletcher , Mame Biram Diouf , Joe Allen , Erik Pieters , Jese , Xherdan Shaqiri , Eric Maxim Choupo-Moting , Bruno Martins Indi , Ramadan Sobhi , Saido Berahino , Petr Cech , Shkodran Mustafi , Nacho Monreal , Sead Kolasinac , Alex Oxlade-Chamberlain , Hector Bellerin , Aaron Ramsey , Granit Xhaka , Alexandre Lacazette , Danny Welbeck , Mesut Ozil , Alex Iwobi , Theo Walcott , Olivier Giroud 
