match_id,home_team,away_team,home_goals,away_goals,result,home_player1,home_player2,home_player3,home_player4,home_player5,home_player6,home_player7,home_player8,home_player9,home_player10,home_player11,home_player12,home_player13,home_player14,away_player1,away_player2,away_player3,away_player4,away_player5,away_player6,away_player7,away_player8,away_player9,away_player10,away_player11,away_player12,away_player13,away_player14
38313,Manchester United,Leicester City,2,1,1, David de Gea , Luke Shaw , Matteo Darmian , Victor Lindelöf , Eric Bailly , Fred , Andreas Pereira , Paul Pogba , Juan Mata , Alexis Sánchez , Marcus Rashford , Marouane Fellaini , Scott McTominay , Romelu Lukaku , Kasper Schmeichel , Daniel Amartey , Ben Chilwell , Harry Maguire , Wes Morgan , Demarai Gray , Ricardo Pereira , James Maddison , Adrien Silva , Wilfred Ndidi , Kelechi Iheanacho , Rachid Ghezzal , Vicente Iborra , Jamie Vardy 
38314,Newcastle United,Tottenham Hotspur,1,2,-1, Martin Dubravka , Ciaran Clark , Jamaal Lascelles , Paul Dummett , DeAndre Yedlin  , Jonjo Shelvey , Matt Ritchie , Kenedy , Mohamed Diamé , Joselu , Ayoze Pérez , Christian Atsu , Yoshinori Muto , Salomón Rondón , Hugo Lloris , Jan Vertonghen , Serge Aurier , Davinson Sánchez , Ben Davies , Eric Dier , Christian Eriksen , Moussa Sissoko , Dele Alli , Lucas Moura , Harry Kane , Mousa Dembélé , Luke Amos , Son Heung-Min 
38315,Southampton,Burnley,0,0,0, Alex McCarthy , Jannik Vestergaard , Wesley Hoedt , Jack Stephens , Ryan Bertrand , Oriol Romeu , Cédric Soares , Mario Lemina , Stuart Armstrong , Charlie Austin , Nathan Redmond , Mohamed Elyounoussi , Manolo Gabbiadini , Danny Ings , Joe Hart , Ben Mee , Matthew Lowton , James Tarkowski , Stephen Ward , Aaron Lennon , Ashley Westwood , Johann Gudmundsson , Jack Cork , Jeff Hendrick , Chris Wood , Charlie Taylor , Sam Vokes , Ashley Barnes 
38316,Watford,Brighton and Hove Albion,2,0,1, Ben Foster , Christian Kabasele , Daryl Janmaat , Craig Cathcart , José Holebas , Will Hughes , Abdoulaye Doucouré , Etienne Capoue , Roberto Pereyra , Troy Deeney , Andre Gray , Kiko Femenía , Ken Sema , Isaac Success , Mat Ryan , Bruno , Shane Duffy , Lewis Dunk , Bernardo , Anthony Knockaert , Dale Stephens , Solly March , Davy Pröpper , Glenn Murray , Pascal Groß , Gaëtan Bong , Yves Bissouma , Alireza Jahanbakhsh 
38317,Wolverhampton WanderersWOL,Everton,2,2,0, Rui Patrício , Ryan Bennett , Willy Boly , Conor Coady , Rúben Neves , João Moutinho , Matt Doherty , Jonny , Diogo Jota , Hélder Costa , Raúl Jiménez , Rúben Vinagre , Morgan Gibbs-White , Léo Bonatini , Jordan Pickford , Seamus Coleman , Leighton Baines , Michael Keane , Phil Jagielka , Theo Walcott , Idrissa Gueye , Richarlison , Morgan Schneiderlin , Gylfi Sigurdsson , Cenk Tosun , Mason Holgate , Lucas Digne , Oumar Niasse 
38318,Brighton and Hove Albion,Manchester United,3,2,1, Mat Ryan , Lewis Dunk , Shane Duffy , Martín Montoya , Gaëtan Bong , Davy Pröpper , Dale Stephens , Solly March , Anthony Knockaert , Pascal Groß , Glenn Murray  , Leon Balogun , Beram Kayal , Jürgen Locadia  , David de Gea , Eric Bailly , Ashley Young , Luke Shaw , Victor Lindelöf , Paul Pogba , Fred , Andreas Pereira , Anthony Martial , Romelu Lukaku , Juan Mata , Jesse Lingard , Marouane Fellaini , Marcus Rashford 
38319,Burnley,Watford,1,3,-1, Joe Hart , Matthew Lowton , Ben Mee , James Tarkowski , Stephen Ward , Aaron Lennon , Jack Cork , Johann Gudmundsson , Ashley Westwood , Chris Wood , Jeff Hendrick , Charlie Taylor , Sam Vokes , Ashley Barnes , Ben Foster , Christian Kabasele , Daryl Janmaat , Craig Cathcart , José Holebas , Roberto Pereyra , Abdoulaye Doucouré , Will Hughes , Etienne Capoue , Andre Gray , Troy Deeney , Kiko Femenía , Ken Sema , Isaac Success 
38320,Cardiff CityCAR,Newcastle United,0,0,0, Neil Etheridge , Sean Morrison , Bruno Ecuele Manga , Joe Bennett , Sol Bamba , Joe Ralls , Víctor Camarasa , Harry Arter , Kenneth Zohore , David Junior Hoilett , Josh Murphy , Callum Paterson , Bobby De Cordova-Reid , Nathaniel Mendez-Laing , Martin Dubravka , Paul Dummett , Ciaran Clark , Javier Manquillo , Jamaal Lascelles , Jonjo Shelvey , Kenedy , Mohamed Diamé , Matt Ritchie , Joselu , Ayoze Pérez , Isaac Hayden , Jacob Murphy , Yoshinori Muto 
38321,Chelsea,Arsenal,3,2,1, Kepa Arrizabalaga , Marcos Alonso , César Azpilicueta , Antonio Rüdiger , David Luiz , NGolo Kanté , Ross Barkley , Jorginho , Willian , Álvaro Morata , Pedro , Mateo Kovacic , Eden Hazard , Olivier Giroud , Petr Cech , Nacho Monreal , Sokratis , Shkodran Mustafi , Héctor Bellerín , Matteo Guendouzi , Mesut Özil , Henrikh Mkhitaryan , Granit Xhaka , Alex Iwobi , Pierre-Emerick Aubameyang , Aaron Ramsey , Lucas Torreira , Alexandre Lacazette 
38322,Crystal Palace,Liverpool,0,2,-1, Wayne Hennessey , Aaron Wan-Bissaka , Mamadou Sakho , Patrick van Aanholt , James Tomkins , Luka Milivojevic , Andros Townsend , James McArthur , Jeffrey Schlupp , Christian Benteke , Wilfried Zaha , Joel Ward , Max Meyer , Alexander Sørloth , Alisson , Virgil van Dijk , Trent Alexander-Arnold , Joseph Gomez , Andrew Robertson , Naby Keita , James Milner , Georginio Wijnaldum , Roberto Firmino  , Sadio Mané , Mohamed Salah , Jordan Henderson , Adam Lallana , Daniel Sturridge  
