ID,NAME,RATING
0,Tom Heaton,80
1,Stephen Ireland,72
2,Leon Britton,77
3,Dean Whitehead,66
4,David de Gea,91
5,Jesus Gamez,76
6,Gareth McAuley,72
7,Yohan Cabaye,79
8,Petr Cech,82
9,Patrice Evra,81
10,Kasper Schmeichel,84
11,Jordan Pickford,83
12,Georges-Kevin Nkoudou,76
13,Son Heung-Min,84
14,Michael Carrick,80
15,Michel Vorm,78
16,Pierre-Emerick Aubameyang,87
17,Simon Mignolet,79
18,Julian Speroni,71
19,Per Mertesacker,81
20,Ederson,86
21,Orestis Karnezis,79
22,Thibaut Courtois,90
23,Ki Sung-yueng,76
24,Lucas Moura,82
25,Marko Grujic,73
26,Chicharito,79
27,Paulo Gazzaniga,70
28,Zanka,77
29,Martin Cranie,68
30,Asmir Begovic,79
31,Bakary Sako,71
32,Jonas Lossl,75
33,Claudio Yacob,73
34,Liam Rosenior,71
35,Lukasz Fabianski,80
36,Loris Karius,79
37,Karl Darlow,73
38,Robert Elliot,72
39,Martin Dubravka,77
40,Josh Tymon,61
41,Boaz Myhill,70
42,Wayne Hennessey,75
43,Jack Butland,81
44,Jeremy Pied,73
