NAME,RATING
Tom Heaton,80
Stephen Ireland,72
Leon Britton,77
Dean Whitehead,66
David de Gea,91
Jesus Gamez,76
Gareth McAuley,72
Yohan Cabaye,79
Petr Cech,82
Patrice Evra,81
Kasper Schmeichel,84
Jordan Pickford,83
Georges-Kevin Nkoudou,76
Son Heung-Min,84
Michael Carrick,80
Michel Vorm,78
Pierre-Emerick Aubameyang,87
Simon Mignolet,79
Julian Speroni,71
Per Mertesacker,81
Ederson,86
Orestis Karnezis,79
Thibaut Courtois,90
Ki Sung-yueng,76
Lucas Moura,82
Marko Grujic,73
Chicharito,79
Paulo Gazzaniga,70
Zanka,77
Martin Cranie,68
Asmir Begovic,79
Bakary Sako,71
Jonas Lossl,75
Claudio Yacob,73
Liam Rosenior,71
Lukasz Fabianski,80
Loris Karius,79
Karl Darlow,73
Robert Elliot,72
Martin Dubravka,77
Josh Tymon,61
Boaz Myhill,70
Wayne Hennessey,75
Jack Butland,81
Jeremy Pied,73
Marcus Bettinelli,72
Kepa Arrizabalaga,83
Fabri,80
Bobby De Cordova-Reid,74
David Button,68
Rui Patricio,83
Bernd Leno,84
Vicente Guaita,81
Grady Diangana,65
Neil Etheridge,72
Alisson,85
